YearMonth,LangName,CommitCnts
2014-11,Shell,22685114
2011-3,Makefile,27520191
2016-7,JavaScript,4603153
2015-6,Go,3906857
2009-3,Erlang,2991058
2015-7,Assembly,4911252
2016-4,C,4800606
2014-4,XSLT,2726362
2011-5,Python,35502298
2013-10,PHP,3527679
2014-8,HTML,11113986
2011-12,PHP,2521790
2014-3,Lex,8496681
2013-3,PHP,3337061
2012-12,Python,16367972
2013-2,Python,21428953
2016-2,Assembly,2770766
2013-11,Lex,7101849
2007-4,Makefile,9778801
2020-9,HTML,1093566
2010-2,C,24955749
2010-9,C,21742426
2009-1,Perl,32444891
2009-5,ASP,12730935
2013-5,JavaScript,8736912
2008-6,Shell,15935967
2018-4,Dockerfile,1362208
2014-9,JavaScript,10016483
2012-12,VimL,2342786
2008-3,SourcePawn,5902383
2015-3,HLSL,122698
2017-1,NSIS,239949
2014-12,Lua,876343
2016-11,TSQL,164906
2009-11,Lua,271309
2012-7,JavaScript,8061356
2006-7,Python,10193365
2006-7,Makefile,7327248
2012-12,R,403117
2020-1,Shell,2038043
2012-3,Scala,5816496
2014-6,Visual Basic,229708
2019-3,Go,588431
2016-8,Python,6352147
2013-1,CoffeeScript,1445913
2012-10,Smarty,401271
2011-9,CoffeeScript,483455
2015-11,Tcl,300740
2013-10,Smarty,554149
2016-6,Arduino,68651
2016-6,Lex,1286104
2011-5,GLSL,312921
2011-12,Ruby,3546672
2015-9,NSIS,490266
2015-10,GLSL,415906
2017-5,OpenSCAD,31206
2019-10,SCSS,247164
2016-11,HLSL,105759
2011-12,Haskell,141143
2010-6,Visual Basic,340155
2017-6,Swift,276757
2009-5,Lua,307012
2014-6,Nginx,505764
2015-5,Haskell,235600
2019-3,SCSS,251214
2011-7,Arduino,123221
2011-11,Groovy,454265
2019-12,Emacs Lisp,122936
2009-2,Lua,322720
2017-6,Elm,25457
2017-8,PLpgSQL,183032
2016-3,Propeller Spin,1904
2014-2,Protocol Buffer,791882
2019-5,TypeScript,264505
2010-11,Gherkin,164370
2015-5,Stata,8773
2009-12,Perl6,328180
2014-10,TeX,936062
2015-3,Emacs Lisp,902540
2016-7,ApacheConf,194824
2011-8,Kotlin,125129
2014-9,Objective-C++,1165172
2014-4,Hack,177107
2020-4,CSS,977542
2010-1,CSS,3041929
2016-10,C#,978350
2016-10,M4,670333
2014-11,Jupyter Notebook,125025
2014-11,Puppet,169700
2009-5,Gherkin,117958
2003-7,C++,648496
2003-6,Prolog,85764
2010-1,Batchfile,1703434
2014-1,Thrift,283911
2018-2,Lex,257914
2017-3,Rust,150730
2015-3,ASP,639284
2010-11,Inno Setup,74690
2010-5,RobotFramework,22389
2018-5,SCSS,269105
2019-9,Go,409118
2019-9,HTML,1435229
2019-6,Perl,746173
2000-8,Awk,190543
2005-5,ApacheConf,354964
2001-10,Python,451895
2010-3,HLSL,70808
2000-3,Scala,41135
2015-2,SWIG,25256
2008-9,SuperCollider,1906184
2002-5,Common Lisp,85067
2002-5,TeX,234916
2003-11,Visual Basic,112649
2002-4,TeX,226558
2017-12,OpenSCAD,13263
2015-9,VimL,746785
2001-2,Makefile,256698
2017-7,ApacheConf,69738
2013-9,R,481954
2015-1,Pascal,378956
2001-1,MATLAB,13611
2004-8,Factor,231
2005-2,Scala,89145
2019-8,Emacs Lisp,151652
2019-9,Assembly,353842
2015-9,GCC Machine Description,36315
2000-5,Factor,262
2020-10,Groovy,81717
2004-12,PostScript,52546
2017-6,ANTLR,98137
2015-1,Gnuplot,86973
2008-11,M4,2088243
2016-11,ApacheConf,176172
2017-5,Sage,14322
2001-10,VimL,45655
2000-11,M,19896
2016-12,OCaml,77963
2002-2,Gherkin,4501
2008-1,PowerShell,41534
2014-11,Common Lisp,107602
2015-10,Rust,144191
2010-7,R,759053
2010-11,Factor,737
2002-4,PLSQL,44110
2008-4,R,1232198
2010-11,AppleScript,240873
2015-9,GAP,180163
2001-10,Elixir,43208
2011-12,Swift,44647
2018-4,Gherkin,157216
2012-2,MATLAB,63936
2019-6,Jsonnet,15717
2017-4,Protocol Buffer,410482
2017-6,SWIG,42008
2018-7,Smalltalk,50762
2016-4,Liquid,10551
2016-3,OCaml,121469
2018-3,Jinja,65358
2014-11,SuperCollider,43745
2012-12,Classic ASP,464
2003-1,TeX,230644
2004-4,SuperCollider,44900
2016-9,Raku,45749
2001-6,OCaml,57199
2016-12,Nginx,337977
2016-3,ActionScript,100132
2009-11,Matlab,176579
2017-10,xBase,8891
2018-5,GAP,56373
2018-6,OCaml,49247
2015-5,D,146614
2018-2,SQL,4
2016-10,ActionScript,54442
2012-5,Arduino,191695
2016-4,Csound,2271
2017-5,M4,453860
2019-11,Nextflow,457
2011-8,TypeScript,270459
2014-10,Common Lisp,111734
2011-9,Scheme,194474
2012-7,SWIG,19398
2017-4,Puppet,39028
2014-4,Kotlin,163634
2016-9,SuperCollider,29800
2013-12,Mako,417750
2015-8,GDB,1206744
2014-3,OpenEdge ABL,181487
2019-4,Scheme,64882
2010-8,Mako,395950
2008-12,Genshi,10306
2014-12,Mathematica,88640
2014-12,NewLisp,47144
2010-2,Bison,3881398
2010-4,Common Lisp,80006
2014-1,Smalltalk,172084
2014-1,Mako,586754
2016-2,Fortran,151225
2010-9,SRecode Template,19744
2011-4,NewLisp,40420
2013-5,SystemVerilog,41862
2015-10,SystemVerilog,25025
2010-5,Puppet,40453
2015-2,SQLPL,376584
2017-12,OpenEdge ABL,26805
2010-5,Ada,270918
2003-6,M4,110475
2002-5,Slash,46629
2007-10,Perl 6,502562
2013-8,Perl 6,272160
2003-10,sed,19142
2009-9,Forth,115585
2011-3,Fortran,126930
2016-11,sed,435411
2000-7,NSIS,11972
2011-3,Genshi,6949
2005-4,Ada,172752
2016-1,Ada,60232
2010-12,Puppet,63614
2000-9,Mathematica,38283
2001-10,Go,139819
2013-2,Forth,117154
2014-6,Bison,1347568
2007-4,CMake,461079
2002-4,Batchfile,209606
2006-7,AppleScript,69165
2002-9,Smalltalk,33873
2012-6,Vim Script,22250
2003-2,Ruby,159586
2007-3,Fortran,69591
2002-3,Matlab,121221
2017-12,Standard ML,24729
2003-3,Slash,22359
2000-3,NewLisp,27274
2006-6,Fortran,69042
2004-10,ANTLR,3274
2016-7,Hack,140659
2020-6,Standard ML,10391
2003-7,Gettext Catalog,2717
2002-11,Forth,46646
2002-12,Perl 6,23708
2002-8,NewLisp,25257
2019-12,SWIG,37792
2016-5,API Blueprint,10690
2011-2,Kotlin,102355
2018-6,Mathematica,18063
2005-7,CMake,362688
2008-9,R,636253
2008-12,sed,29545
2004-2,Groovy,16086
2018-5,NewLisp,4224
2005-9,Objective-C++,1813968
2000-9,Visual Basic,27140
2012-1,Cuda,64347
2019-4,Smalltalk,40839
2017-9,Blade,14837
2020-8,GCC Machine Description,1917
2019-11,Haml,10676
2012-5,M,92612
2017-5,VHDL,8899
2020-7,Mercury,1444
2012-8,TSQL,110186
2015-8,FORTRAN,81245
2018-6,Pawn,65186
2016-1,NASL,24867
2017-3,F#,146756
2018-8,Vala,36652
2018-5,Cython,48974
2012-12,Parrot,2262
2020-2,Limbo,1868
2010-5,Vim script,180893
2015-1,Limbo,10034
2014-2,Standard ML,211097
2007-12,PLpgSQL,214238
2001-8,Cucumber,4000
2005-2,Cucumber,139418
2009-4,Dockerfile,86323
2008-10,MATLAB,30496
2000-1,CMake,63422
2006-9,Rich Text Format,5106
2004-4,Smarty,64490
2012-8,Cython,14849
2008-1,Thrift,23829
2017-11,Groff,39542
2008-8,Inno Setup,46276
2007-5,PLpgSQL,262879
2002-9,Smarty,50201
2015-9,E,15339
2015-9,Eiffel,10880
2006-12,MATLAB,23185
2017-12,Vala,34005
2003-1,Perl6,111664
2020-8,Rich Text Format,28029
2020-5,Limbo,1490
2011-4,DIGITAL Command Language,154720
2000-12,XSLT,155125
2000-6,Perl6,45937
2004-12,FORTRAN,112577
2015-9,Meson,70682
2004-1,MATLAB,13034
2016-4,GAMS,1381
2016-1,LLVM,301684
2015-8,LLVM,134322
2006-7,Pure Data,42493
2002-2,DTrace,74405
2011-2,LiveScript,43724
2012-6,E,35656
2019-8,Filebench WML,308
2016-5,Glyph,128
2004-11,GDScript,26918
2014-4,Eiffel,28755
2007-6,EmberScript,10849
2000-2,D,38380
2002-1,Groff,167909
2002-8,SuperCollider,52231
2017-10,Brainfuck,47731
2003-10,Bison,46076
2000-9,DTrace,43653
2019-5,ApacheConf,10797
2006-4,E,28233
2002-3,Pure Data,75661
2003-2,DTrace,75982
2003-1,Pure Data,83350
2002-10,EmberScript,11038
2002-10,SuperCollider,40327
2005-4,E,41836
2005-4,EmberScript,10204
2005-6,Nemerle,23115
2006-10,Pure Data,57669
2012-8,CLIPS,137645
2004-4,Pure Data,64166
2000-5,GAP,81837
2000-5,Rebol,37159
2017-3,SQF,1895
2007-12,GAP,196794
2002-1,Arc,5937
2016-6,Handlebars,53498
2004-2,Arc,7494
2003-8,Arc,8191
2008-5,Arduino,5957
2013-4,Vala,53421
2011-6,XQuery,63804
2015-2,Starlark,58044
2017-2,Slim,3109
2019-11,Blade,7031
2018-6,Blade,7628
2011-1,SAS,136612
2017-4,HLSL,81028
2017-12,GDB,153224
2015-3,CLIPS,115632
2019-4,Haml,12483
2011-11,CLIPS,113972
2009-11,xBase,3503
2020-11,Haml,9844
